shelter_id,owner_email,name,email,phone,zipcode,address,address_detail,opening_hours,volunteer_info,description,url,created_at,modified_at
1,user00007@test.com,별빛 보호소,user00007@test.com,02-5384-9014,06234,서울특별시 강남구 백제고분 42,3층 385호,"평일 08:30-18:30, 주말 09:00-18:00","주말 봉사 가능, 단체 봉사 환영",서울에 위치한 별빛 보호소입니다. 현재 109여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://www.shelter1.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
2,user00015@test.com,서울강남 봄날 반려동물센터,user00015@test.com,02-2379-3369,06234,서울특별시 강남구 백제고분 189,3층 147호,"평일 09:00-18:00, 주말 10:00-17:00","정기 봉사자 모집 중, 1개월 이상 활동 가능자 우대",서울강남 봄날 반려동물센터은 서울에서 운영하는 비영리 동물보호시설입니다. 매년 82여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://blog.naver.com/shelter0002,2025-12-04 03:07:09,2025-12-04 03:07:09
3,user00016@test.com,무지개 보호소,user00016@test.com,062-9775-3633,61937,광주광역시 서구 석촌호수 5,16층 569호,화-일 09:00-18:00 (월요일 휴무),"평일 봉사 가능, 1일 체험 가능",광주 소재 무지개 보호소입니다. 넓은 운동장과 쾌적한 환경에서 54여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,,2025-12-04 03:07:09,2025-12-04 03:07:09
4,user00019@test.com,여름 동물병원,user00019@test.com,053-8273-7010,42061,대구광역시 수성구 논현 36,9층 617호,"평일 08:30-18:30, 주말 09:00-18:00","주중/주말 봉사 가능, 학생 봉사활동 가능",대구에 위치한 여름 동물병원입니다. 현재 120여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://www.shelter4.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
5,user00021@test.com,성남 가을 애견보호센터,user00021@test.com,031-6940-9250,13487,경기도 성남시 봉은사 45,6층 535호,월-토 09:00-18:00 (일요일 휴무),"사전 연락 후 방문, 개인/단체 모두 환영",경기도에 위치한 성남 가을 애견보호센터입니다. 현재 84여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://www.instagram.com/shelter0005,2025-12-04 03:07:09,2025-12-04 03:07:09
6,user00022@test.com,인천남동 달빛 반려동물센터,user00022@test.com,032-8523-8268,21556,인천광역시 남동구 언주 96,2층 784호,"평일 09:00-17:00, 토요일 10:00-15:00",학생 봉사활동 확인서 발급 가능,인천 소재 인천남동 달빛 반려동물센터입니다. 넓은 운동장과 쾌적한 환경에서 73여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,https://www.shelter6.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
7,user00024@test.com,인천연수 별빛 보호소,user00024@test.com,032-8927-5738,21990,인천광역시 연수구 잠실 167,11층 461호,월-토 09:00-18:00 (일요일 휴무),"주중/주말 봉사 가능, 학생 봉사활동 가능",인천 연수의 인천연수 별빛 보호소입니다. 8년간 운영하며 74여마리의 유기동물을 보호하고 있습니다. 봉사자 여러분의 많은 관심과 참여 부탁드립니다.,https://www.shelter7.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
8,user00025@test.com,서울강동 겨울 애견보호센터,user00025@test.com,02-2830-2308,05288,서울특별시 강동구 논현 164,7층 222호,월-토 09:00-18:00 (일요일 휴무),주 1회 이상 참여 가능한 분 환영,서울강동 겨울 애견보호센터은 서울에서 운영하는 비영리 동물보호시설입니다. 매년 63여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://www.shelter8.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
9,user00035@test.com,송파 따뜻한 반려동물센터,user00035@test.com,02-1355-5158,05855,서울특별시 송파구 삼성 40,10층 321호,월-토 09:00-18:00 (일요일 휴무),"정기 봉사자 모집 중, 1개월 이상 활동 가능자 우대",서울 송파의 송파 따뜻한 반려동물센터입니다. 4년간 운영하며 103여마리의 유기동물을 보호하고 있습니다. 봉사자 여러분의 많은 관심과 참여 부탁드립니다.,https://blog.naver.com/shelter0009,2025-12-04 03:07:09,2025-12-04 03:07:09
10,user00043@test.com,남동 따뜻한 동물병원,user00043@test.com,032-2797-5523,21556,인천광역시 남동구 백제고분 13,8층 380호,"평일 09:00-18:00, 주말 10:00-17:00","주말 봉사 가능, 단체 봉사 환영",남동 따뜻한 동물병원은 인천에서 운영하는 비영리 동물보호시설입니다. 매년 81여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,,2025-12-04 03:07:09,2025-12-04 03:07:09
